1, 0.6396, 0.0720 
120, 1.3490, 0.1510 
136, 1.5590, 0.1740 
213, 2.6972, 0.3020 
214, 2.6896, 0.1410 
318, 2.2639, 0.2530 
559, 0.4579, 0.0530 
1100, 0.6483, 0.0720 
1170, 0.6105, 0.0410 
1235, 0.8610, 0.0820 
1264, 1.2358, 0.1380 
1280, 1.2449, 0.1390 
1295, 1.3315, 0.1490 
1465, 0.8967, 0.0930 
1466, 0.9496, 0.0730 
1490, 1.1053, 0.1240 
1517, 0.9831, 0.1100 
1520, 0.8522, 0.0950 
1521, 0.7205, 0.0810 
1550, 0.7325, 0.0820 
1569, 1.0245, 0.1150 
1628, 0.7387, 0.0830 
1751, 0.9956, 0.1110 
1823, 0.8459, 0.0950 
1867, 0.9147, 0.1020 
1873, 0.8130, 0.0910 
1946, 0.7633, 0.0850 
1948, 0.7643, 0.0850 
1949, 0.8045, 0.0900 
1951, 0.8428, 0.0940 
1953, 0.8786, 0.0660 
1956, 1.0471, 0.1780 
1957, 1.1290, 0.1260 
1977, 1.0681, 0.0720 
2002, 0.9775, 0.1090 
2213, 0.9152, 0.1020 
2322, 1.0352, 0.0660 
2408, 0.9395, 0.1050 
2546, 1.3240, 0.1370 
2595, 1.0180, 0.2240 
2688, 0.6396, 0.0980 
2711, 0.7192, 0.1020 
2855, 1.1765, 0.1660 
3029, 1.4520, 0.2030 
3403, 1.0520, 0.0970 
3414, 1.2030, 0.0860 
3449, 1.6700, 0.0980 
3450, 1.7760, 0.1050 
3456, 1.9020, 0.1320 
3459, 1.9350, 0.1290 
3468, 2.3300, 0.1360 
3471, 2.4200, 0.1370 
3476, 2.7030, 0.1470 
3477, 2.8100, 0.1610 
3479, 3.0250, 0.1700 
3489, 3.9230, 0.2010 
3522, 3.8320, 0.2020 
3599, 1.7620, 0.1630 
3603, 1.8260, 0.1010 
3606, 1.7930, 0.1010 
3619, 1.4040, 0.0960 
3620, 1.4360, 0.0890 
3644, 1.0310, 0.0820 
3645, 0.7350, 0.1200 
3649, 0.6690, 0.0570 
3677, 0.6260, 0.0480 
3683, 0.5780, 0.0380 
3688, 0.5140, 0.0340 
3691, 0.5170, 0.0860 
3694, 0.5400, 0.0390 
3697, 0.5690, 0.0390 
3698, 0.5300, 0.0380 
3705, 0.6770, 0.0590 
3710, 0.6250, 0.0440 
3731, 0.5710, 0.0860 
3745, 0.7660, 0.0880 
3751, 0.8360, 0.1450 
3755, 0.8040, 0.1110 
3756, 0.8640, 0.0610 
3790, 0.6190, 0.0570 
3796, 0.7080, 0.0880 
3844, 1.2920, 0.0830 
3846, 1.2760, 0.0900 
3849, 1.2790, 0.1220 
3970, 2.0730, 0.1280 
3977, 2.5360, 0.2520 
3996, 2.1800, 0.1380 
4032, 3.0360, 0.1800 
4034, 3.0360, 0.1530 
4052, 2.4920, 0.1630 
4053, 2.5000, 0.1900 
4057, 2.1710, 0.1480 
4058, 2.2270, 0.1540 
4065, 2.8210, 0.1450 
4066, 2.7630, 0.1600 
4069, 2.7020, 0.2210 
4074, 2.7990, 0.2180 
4079, 2.7050, 0.1360 
4082, 2.6570, 0.1350 
4085, 2.8440, 0.3030 
4089, 3.5390, 0.5600 
4094, 3.7070, 0.1920 
4097, 3.3750, 0.5920 
4100, 3.6270, 0.3620 
4103, 2.7620, 0.3600 
4104, 2.6150, 0.2000 
4107, 2.4980, 0.2250 
4112, 2.2620, 0.1160 
4140, 1.5800, 0.1870 
4141, 1.6550, 0.1340 
4149, 1.7440, 0.1400 
4173, 1.3820, 0.0970 
4175, 1.3840, 0.1150 
4180, 1.2490, 0.0940 
4199, 1.0680, 0.0960 
4215, 1.0310, 0.0760 
4222, 1.1460, 0.0920 
4319, 0.5590, 0.0400 
4345, 0.5780, 0.0490 
4351, 0.7650, 0.1380 
4365, 0.5770, 0.0400 
4385, 0.5810, 0.0400 
4408, 0.6800, 0.0480 
4411, 0.6920, 0.0540 
4414, 0.6930, 0.0480 
4419, 0.7510, 0.0560 
4422, 0.7530, 0.0540 
4435, 0.7790, 0.0490 
4463, 0.8650, 0.0530 
4482, 0.9430, 0.0580 
4503, 1.1410, 0.0670 
4508, 1.1450, 0.0580 
4514, 1.1050, 0.0610 
4518, 1.1080, 0.0880 
4527, 1.2020, 0.0910 
4535, 1.1690, 0.0890 
4564, 1.0700, 0.0810 
4597, 0.8820, 0.0810 
4619, 0.8660, 0.0720 
4691, 1.0130, 0.0730 
4695, 0.9530, 0.0740 
4697, 0.8780, 0.0540 
4698, 0.9020, 0.0710 
4701, 0.8260, 0.0680 
4708, 0.8250, 0.0630 
4709, 0.8350, 0.0750 
4724, 0.8280, 0.0700 
4739, 0.7610, 0.0620 
4740, 0.7990, 0.0580 
4747, 0.8100, 0.0680 
4753, 0.8940, 0.0610 
4758, 0.7720, 0.0540 
4764, 0.7630, 0.0390 
4765, 0.7390, 0.0560 
4766, 0.7320, 0.0540 
4767, 0.6880, 0.0550 
4768, 0.7080, 0.0550 
4769, 0.6580, 0.0420 
4773, 0.6150, 0.0520 
4786, 0.6750, 0.0540 
4790, 0.6530, 0.0430 
4800, 0.6540, 0.0570 
4822, 0.9990, 0.1670 
4829, 0.8780, 0.0690 
4844, 0.8320, 0.0660 
4864, 0.7720, 0.0620 
4866, 0.7700, 0.0710 
4867, 0.7060, 0.0660 
4935, 0.5780, 0.0480 
4936, 0.5300, 0.0500 
4937, 0.5520, 0.0480 
4939, 0.5790, 0.0510 
4940, 0.5620, 0.0510 
4944, 0.6240, 0.0630 
4972, 0.5540, 0.0480 
